Username, Password, Comfirm Password
johndoe123, pass@word1, pass@word1
mike_23, 12345abcde, 12345abcde
sarah_87, myP@ssw0rd, myP@ssw0rd
aliceSmith, securePwd123!, securePwd123!
david88, qwerty@321, qwerty@321
robertmills, R0bertP@ss, R0bertP@ss
emilyB, p@ssw0rd321, p@ssw0rd321
sophieSmith, P@ssw0rd123, P@ssw0rd123
annaG_09, Password123!, Password123!
robertmills, 12345678, 12345678
chris-47, mySecretPwd!23, mySecretPwd!23
sarah_87, 12345, 123456
david88, qwerty123, qwerty1234
johndoe123, password123, Password123
mike_23, pass, PASS
aliceSmith, mypassword, mypassword
emilyB, P@ssw0rd321, p@ssW0rd321
sophieSmith, Password123, Password
annaG_09, pass123!, pass123!
chris-47, secret!23, secret!23
johndoe123, p@ssword123, P@ssword123
sarah_87, 12345!, 12345!
aliceSmith, myp@ssword, myp@ssword
johndoe_123, P@ssword!23, P@ssword!23
sarah-87, 1@3456, 1@3456
alice_Smith, myp@$$w0rd, myp@$$w0rd
johndoe!123, P@ss123!, P@ss123!
sarah.87, 12#45@6, 12#45@6
aliceSmith_1, myp@$$word!1, myp@$$word!1
john_doe-123, p@ss!23, p@ss!23
